id,first_name,last_name,email,state,ip_address,customer_id,survey_date,proto_purchasedate,amountspent,annual_income,gender,satisfaction,satisfaction_oe,selfrun,runtrack,selfcycle,cycletrack,community,portal,setup,oneupdate,agerange
255,Jacqueline,Mendoza,jmendoza72@opera.com,Tennessee,190.119.93.70,10151,12/10/14,9/5/14,$185.53 ,"$50,000-$74,999",F,9,Wish the setup was easier but loved tracking my running time. ,2,1,0,0,4,1,9,Style,24-44 years old
256,Kathy,Bryant,kbryant73@google.co.uk,Washington,212.24.63.0,,12/2/14,3/7/14,$167.11 ,"$50,000-$74,999",F,5,Didn't accurately track my route,3,2,3,2,0,5,8,Performance,Under 24 years old
257,Albert,West,awest74@soup.io,Georgia,129.50.148.86,10465,11/23/14,10/29/14,$170.37 ,"$100,000-$124,999",M,9,Fantastic shoe! Helped me improve my running time and track my runs.,4,3,2,1,3,5,8,Performance,Under 24 years old
258,Louis,Castillo,lcastillo75@sphinn.com,Florida,5.213.85.166,,11/24/14,2/4/14,$181.33 ,"$125,000 or more",M,8,Shoe was comfortable and I think this helped improve my time,2,1,5,4,2,5,9,Comfort,24-44 years old
259,Todd,Smith,tsmith76@blog.com,Nevada,56.247.192.241,10028,12/3/14,4/13/14,$174.61 ,"$100,000-$124,999",M,8,Great tool for runners,3,2,0,0,5,2,9,Style,Under 24 years old
260,Jacqueline,Romero,jromero77@google.co.jp,Ohio,137.212.146.234,10475,12/2/14,11/5/14,$138.57 ,"$25,000-$49,999",F,8,Shoe was comfortable and I think this helped improve my time,3,3,0,0,2,2,8,Price,24-44 years old
261,Diana,Dunn,ddunn78@sfgate.com,Louisiana,146.114.129.40,,11/30/14,2/21/14,$136.47 ,"$25,000-$49,999",F,6,Loved how easy it was to track my route and stride.,4,4,1,0,3,4,7,Price,24-44 years old
262,Cheryl,Stewart,cstewart79@sohu.com,Washington,151.254.241.97,,11/20/14,9/23/14,$186.08 ,"$125,000 or more",F,0,Had hard time with setup,4,3,3,0,1,5,0,Price,Under 24 years old
263,Roger,Gilbert,rgilbert7a@oracle.com,Florida,175.177.223.189,,11/24/14,5/24/14,$162.82 ,"$75,000-$99,999",M,8,Wish the setup was easier but loved tracking my running time. ,3,2,0,0,1,2,9,Comfort,Under 24 years old
264,Timothy,Kelley,tkelley7b@cafepress.com,Illinois,223.141.173.201,10148,11/22/14,3/12/14,$180.75 ,"$100,000-$124,999",M,6,Loved being able to track my route and heartrate.,2,2,0,0,3,1,5,Comfort,Under 24 years old
265,Sara,Moore,smoore7c@skype.com,Kentucky,197.153.76.240,10338,12/8/14,6/27/14,$140.50 ,"$25,000-$49,999",F,10,Loved tracking my stride and heart rate.,5,4,2,1,4,5,8,Performance,Under 24 years old
266,Ralph,Chavez,rchavez7d@cyberchimps.com,Illinois,169.111.48.204,,11/25/14,6/24/14,$169.86 ,"$100,000-$124,999",M,8,Such a great shoe for runners,3,2,0,0,5,2,9,Comfort,24-44 years old
267,Daniel,Montgomery,dmontgomery7e@vk.com,Minnesota,159.248.161.111,10333,12/2/14,5/1/14,$179.05 ,"$100,000-$124,999",M,9,Wish the setup was easier but loved tracking my running time. ,4,4,0,0,2,3,9,Performance,24-44 years old
268,Ruth,Baker,rbaker7f@google.co.jp,Florida,114.105.98.168,10017,11/29/14,11/8/14,$186.98 ,"$125,000 or more",F,9,Loved tracking my stride and heart rate.,4,3,2,1,4,5,8,Performance,24-44 years old
269,Rachel,Graham,rgraham7g@hao123.com,Alaska,20.10.4.252,,12/3/14,3/27/14,$148.64 ,"$25,000-$49,999",F,10,Loved tracking my stride and heart rate.,4,3,1,0,5,4,8,Performance,Under 24 years old
270,Dennis,Fowler,dfowler7h@netvibes.com,Connecticut,54.129.118.51,,12/2/14,5/20/14,$179.97 ,"$100,000-$124,999",M,10,Fantastic shoe! Helped me improve my running time and track my runs.,3,3,3,2,4,5,9,Comfort,24-44 years old
271,Heather,Hicks,hhicks7i@un.org,New York,138.109.246.215,,11/30/14,8/19/14,$161.30 ,"$75,000-$99,999",F,5,It was okay - didn't love it,2,2,3,2,5,4,6,Style,24-44 years old
272,Raymond,Miller,rmiller7j@etsy.com,Oklahoma,244.228.17.136,,12/1/14,11/1/14,$143.54 ,"$25,000-$49,999",M,8,Wish the setup was easier but loved tracking my running time. ,5,4,5,4,0,5,9,Price,Under 24 years old
273,Jose,Davis,jdavis7k@blogspot.com,Arkansas,157.115.207.151,10160,11/20/14,8/5/14,$180.63 ,"$100,000-$124,999",M,8,Easy to use and loved the portal.,2,1,4,3,2,5,9,Comfort,45 years old or older
274,Henry,Williams,hwilliams7l@reference.com,Georgia,162.149.69.140,,11/24/14,1/6/14,$165.86 ,"$75,000-$99,999",M,6,Thoughts that the features were nice but setup was hard.,1,1,4,3,0,4,7,Comfort,45 years old or older
275,Jose,Williams,jwilliams7m@flickr.com,Pennsylvania,249.146.4.255,10138,12/2/14,9/5/14,$168.79 ,"$100,000-$124,999",M,5,Had a hard time getting it setup,2,2,3,2,0,4,6,Comfort,45 years old or older
276,Philip,Morrison,pmorrison7n@mlb.com,Missouri,253.95.45.222,,11/30/14,1/24/14,$164.24 ,"$75,000-$99,999",M,8,Wish the setup was easier but loved tracking my running time. ,2,1,2,1,5,3,9,Comfort,45 years old or older
277,Barbara,Romero,bromero7o@vk.com,Iowa,49.178.154.128,10055,12/1/14,10/17/14,$132.21 ,"$25,000-$49,999",F,7,Wish setup was easier but really liked the features of the shoe.,3,3,0,0,3,2,8,Price,24-44 years old
278,Donald,George,dgeorge7p@walmart.com,Washington,166.7.122.165,10445,11/28/14,8/30/14,$175.05 ,"$100,000-$124,999",M,9,Comfortable shoe - loved tracking my running route. Easy to use.,3,3,4,3,1,5,9,Comfort,45 years old or older
279,Jacqueline,Nguyen,jnguyen7q@princeton.edu,New York,214.214.221.13,,11/21/14,10/24/14,$176.40 ,"$100,000-$124,999",F,8,Easy to use and loved the portal.,3,3,0,0,2,2,9,Performance,Under 24 years old
280,Charles,Gonzales,cgonzales7r@ustream.tv,Florida,188.230.111.52,10011,11/21/14,4/11/14,$149.48 ,"$25,000-$49,999",M,8,Loved tracking my stride and heart rate.,4,3,3,2,2,5,10,Performance,24-44 years old
281,Doris,Hudson,dhudson7s@opera.com,District of Columbia,82.16.42.122,,12/10/14,10/22/14,$142.23 ,"$50,000-$74,999",F,6,Loved the features but shoe is uncomfortable.,4,4,0,0,0,3,9,Performance,Under 24 years old
282,Wanda,Gray,wgray7t@joomla.org,Virginia,123.30.242.108,,11/20/14,4/3/14,$167.96 ,"$50,000-$74,999",F,9,Fantastic shoe! Helped me improve my running time and track my runs.,2,2,1,0,5,2,8,Style,24-44 years old
283,Tina,Spencer,tspencer7u@arstechnica.com,Georgia,54.26.81.102,,11/23/14,4/20/14,$168.56 ,"$100,000-$124,999",F,7,Didn't use this as much as I thought I would,4,4,3,2,4,5,8,Performance,Under 24 years old
284,Roger,Marshall,rmarshall7v@springer.com,Florida,81.92.12.174,10300,11/21/14,7/30/14,$169.92 ,"$100,000-$124,999",M,8,Great tool for runners,3,2,3,2,4,5,7,Comfort,24-44 years old
285,David,Lee,dlee7w@cornell.edu,Maryland,89.194.98.157,10003,12/10/14,6/7/14,$136.11 ,"$25,000-$49,999",M,8,Wish the setup was easier but loved tracking my running time. ,3,3,5,4,4,5,8,Price,24-44 years old
286,Douglas,Henderson,dhenderson7x@booking.com,Texas,89.29.206.230,,11/23/14,3/12/14,$149.13 ,"$25,000-$49,999",M,9,Easy to use and loved the portal.,2,1,4,3,1,5,8,Comfort,45 years old or older
287,Timothy,Ellis,tellis7y@intel.com,Utah,244.228.97.223,,11/28/14,1/13/14,"$1,424.00 ","$50,000-$74,999",M,9,Shoe was comfortable and I think this helped improve my time,5,5,4,3,2,5,9,Performance,24-44 years old
288,Joyce,Murray,jmurray7z@360.cn,Connecticut,78.202.6.211,10018,12/5/14,5/2/14,$161.49 ,"$75,000-$99,999",F,9,Great shoe for cyclists and runners,5,5,3,2,4,5,9,Performance,45 years old or older
289,Ralph,Kennedy,rkennedy80@unesco.org,Michigan,200.47.33.6,10286,11/24/14,1/10/14,$172.00 ,"$100,000-$124,999",M,7,Loved tracking my stride and heart rate.,2,1,4,3,2,5,8,Comfort,45 years old or older
290,Brian,Anderson,banderson81@geocities.jp,Oklahoma,85.244.2.92,10210,12/5/14,6/11/14,$156.64 ,"$50,000-$74,999",M,8,Comfortable shoe - loved tracking my running route. Easy to use.,4,3,2,1,3,5,10,Performance,45 years old or older
291,Albert,Robertson,arobertson82@pagesperso-orange.fr,Kansas,205.187.20.247,10449,12/8/14,8/11/14,$156.96 ,"$50,000-$74,999",M,7,Loved being able to track my route and heartrate.,4,4,1,0,1,4,8,Performance,45 years old or older
292,Cheryl,Long,clong83@opensource.org,California,129.195.36.101,10468,12/2/14,3/6/14,$186.30 ,"$100,000-$124,999",F,9,Loved using the portal to track my time against others. The community aspect was great.,4,3,2,1,4,5,9,Performance,Under 24 years old
293,Jose,Coleman,jcoleman84@mozilla.com,Iowa,141.136.187.131,10173,11/22/14,10/9/14,$170.80 ,"$100,000-$124,999",M,8,Shoe was comfortable and I think this helped improve my time,2,1,3,2,3,4,7,Comfort,45 years old or older
294,Jennifer,Clark,jclark85@shareasale.com,Kansas,6.250.101.174,10167,11/22/14,1/10/14,$180.03 ,"$100,000-$124,999",F,10,Great shoe for cyclists and runners,3,3,3,2,4,5,9,Style,Under 24 years old
295,Samuel,Hawkins,shawkins86@bravesites.com,Indiana,110.89.251.133,,11/26/14,10/4/14,$186.54 ,"$125,000 or more",M,7,Such a great shoe for runners,5,4,0,0,3,4,8,Performance,Under 24 years old
296,Paul,Ryan,pryan87@goodreads.com,Missouri,180.4.175.162,10084,11/30/14,9/21/14,$145.11 ,"$25,000-$49,999",M,7,Loved tracking my stride and heart rate.,4,3,0,0,3,3,8,Price,45 years old or older
297,Ruth,Mitchell,rmitchell88@cpanel.net,New York,57.203.48.113,,11/29/14,10/11/14,$129.59 ,"0-$24,999",F,7,Really liked the shoe but wish it were more comfortable.,3,3,2,1,3,4,8,Price,Under 24 years old
298,Shirley,Matthews,smatthews89@xing.com,California,157.173.93.133,,11/23/14,5/13/14,$132.94 ,"$25,000-$49,999",F,9,Loved using the portal to track my time against others. The community aspect was great.,5,5,4,3,3,5,8,Price,Under 24 years old
299,Helen,Gonzalez,hgonzalez8a@sciencedaily.com,Alabama,233.243.107.244,,12/9/14,1/16/14,$146.42 ,"$25,000-$49,999",F,8,Great shoe for cyclists and runners,4,4,0,0,2,3,7,Style,Under 24 years old
300,Ralph,Reynolds,rreynolds8b@storify.com,North Carolina,63.33.10.198,10343,11/20/14,1/23/14,$182.88 ,"$50,000-$74,999",M,8,Shoe was comfortable and I think this helped improve my time,4,4,0,0,4,3,8,Performance,45 years old or older
301,Clarence,Harrison,charrison8c@reddit.com,Texas,127.82.17.156,10083,11/20/14,2/8/14,$137.94 ,"$25,000-$49,999",M,9,Shoe was comfortable and I think this helped improve my time,4,3,2,1,3,5,9,Price,Under 24 years old
302,Janet,Garcia,jgarcia8d@vistaprint.com,Virginia,238.103.39.227,10177,11/28/14,6/28/14,$179.34 ,"$100,000-$124,999",F,9,Comfortable shoe - loved tracking my running route. Easy to use.,4,3,0,0,4,3,7,Performance,Under 24 years old
303,Michael,Carpenter,mcarpenter8e@boston.com,California,195.248.201.50,,11/28/14,1/18/14,$134.32 ,"$25,000-$49,999",M,8,Such a great shoe for runners,4,4,0,0,2,3,8,Price,45 years old or older
304,Virginia,Garza,vgarza8f@soundcloud.com,Louisiana,143.180.137.73,,11/24/14,1/19/14,$188.21 ,"$75,000-$99,999",F,9,Shoe was comfortable and I think this helped improve my time,5,5,0,0,3,4,8,Performance,45 years old or older
305,Brenda,Kelly,bkelly8g@desdev.cn,Oregon,76.254.85.51,10037,11/24/14,6/5/14,$182.78 ,"$50,000-$74,999",F,6,Loved the features but shoe is uncomfortable.,2,2,0,0,4,1,7,Comfort,45 years old or older
306,Gary,Russell,grussell8h@elpais.com,Nevada,132.158.161.225,,11/25/14,10/22/14,$169.77 ,"$100,000-$124,999",M,8,Easy to use and loved the portal.,3,3,0,0,0,2,9,Comfort,45 years old or older
307,Jane,Hunter,jhunter8i@google.es,Texas,169.122.230.233,10271,11/20/14,11/10/14,$173.29 ,"$100,000-$124,999",F,10,Such a big improvement over my other shoe,5,5,1,0,4,5,9,Performance,24-44 years old
308,Kelly,Hughes,khughes8j@desdev.cn,Georgia,215.60.135.191,10111,12/9/14,10/5/14,$136.63 ,"$25,000-$49,999",F,9,Such a big improvement over my other shoe,5,5,3,2,1,5,9,Comfort,Under 24 years old
309,Emily,Flores,eflores8k@noaa.gov,California,51.226.190.37,10446,11/25/14,7/21/14,$147.80 ,"$25,000-$49,999",F,9,Shoe was comfortable and I think this helped improve my time,4,3,3,2,4,5,9,Performance,Under 24 years old
310,Rose,Owens,rowens8l@smh.com.au,Minnesota,80.227.7.116,,12/4/14,11/12/14,$136.48 ,"$25,000-$49,999",F,9,Comfortable shoe - loved tracking my running route. Easy to use.,5,5,3,2,2,5,9,Performance,Under 24 years old
311,Bobby,Stone,bstone8m@ehow.com,New York,214.158.30.170,10117,12/9/14,8/23/14,$151.94 ,"$25,000-$49,999",M,9,Wish the setup was easier but loved tracking my running time. ,1,0,1,0,2,1,9,Price,Under 24 years old
312,Rose,Kim,rkim8n@aboutads.info,Texas,252.135.165.89,,12/4/14,1/26/14,$177.27 ,"$100,000-$124,999",F,9,Loved tracking my runs against others,3,2,0,0,3,2,9,Style,Under 24 years old
313,Rebecca,Carter,rcarter8o@gmpg.org,Texas,111.226.35.71,10088,11/30/14,3/20/14,$146.60 ,"$25,000-$49,999",F,8,Fantastic shoe! Helped me improve my running time and track my runs.,4,4,0,0,0,3,6,Performance,Under 24 years old
314,Lillian,Sims,lsims8p@hao123.com,Texas,69.19.62.205,10025,12/4/14,10/17/14,$174.92 ,"$100,000-$124,999",F,9,Easy to use and loved the portal.,4,4,4,3,2,5,9,Performance,Under 24 years old
315,Benjamin,Jordan,bjordan8q@amazon.co.jp,California,49.46.9.43,,11/27/14,10/31/14,$184.32 ,"$50,000-$74,999",M,8,Fantastic shoe! Helped me improve my running time and track my runs.,5,5,3,2,1,5,9,Performance,24-44 years old
316,Mary,Evans,mevans8r@woothemes.com,District of Columbia,126.113.36.238,,12/3/14,5/19/14,$160.76 ,"$75,000-$99,999",F,8,Great shoe for cyclists and runners,3,3,0,0,2,2,9,Comfort,Under 24 years old
317,Carlos,Hernandez,chernandez8s@netlog.com,Arizona,247.69.6.53,,11/25/14,5/16/14,$156.75 ,"$50,000-$74,999",M,9,Great tool for runners,4,4,2,1,3,5,9,Price,Under 24 years old
318,Frank,Bailey,fbailey8t@scientificamerican.com,Nevada,43.176.97.168,10118,11/25/14,1/29/14,$186.38 ,"$75,000-$99,999",M,7,Loved tracking my stride and heart rate.,5,4,0,0,3,4,9,Performance,45 years old or older
319,Scott,Adams,sadams8u@booking.com,North Carolina,43.194.25.208,,12/2/14,8/9/14,$152.72 ,"$25,000-$49,999",M,9,Comfortable shoe - loved tracking my running route. Easy to use.,3,3,4,3,4,5,9,Comfort,45 years old or older
320,Victor,Simpson,vsimpson8v@simplemachines.org,West Virginia,238.6.0.221,,12/9/14,7/21/14,$173.53 ,"$100,000-$124,999",M,10,Wish the setup was easier but loved tracking my running time. ,2,2,4,3,3,5,9,Price,Under 24 years old
321,Wayne,Powell,wpowell8w@ameblo.jp,Florida,116.57.30.3,,12/5/14,11/5/14,$173.05 ,"$100,000-$124,999",M,0,Not interested in features,3,2,2,4,0,5,0,Comfort,45 years old or older
322,Lisa,Wood,lwood8x@php.net,Wisconsin,217.237.128.190,10086,11/27/14,4/22/14,$170.96 ,"$100,000-$124,999",F,4,Wish the style was different,3,3,5,4,1,5,3,Style,Under 24 years old
323,Thomas,Diaz,tdiaz8y@lycos.com,Connecticut,205.202.253.93,10155,11/22/14,7/4/14,$142.42 ,"$50,000-$74,999",M,10,Great tool for runners,5,4,5,4,1,5,9,Price,Under 24 years old
324,Deborah,Vasquez,dvasquez8z@icq.com,Utah,184.63.178.174,,11/30/14,10/8/14,$134.65 ,"$25,000-$49,999",F,8,Fantastic shoe! Helped me improve my running time and track my runs.,4,4,0,0,2,3,9,Performance,Under 24 years old
325,Antonio,Chapman,achapman90@hhs.gov,Texas,127.108.96.161,10451,11/27/14,8/29/14,$138.47 ,"$25,000-$49,999",M,8,Fantastic shoe! Helped me improve my running time and track my runs.,3,3,0,0,3,2,8,Price,24-44 years old
326,Gerald,Franklin,gfranklin91@cyberchimps.com,Ohio,196.4.54.243,,12/7/14,10/9/14,$131.37 ,"$25,000-$49,999",M,10,So comfortable,2,2,1,0,5,2,8,Price,24-44 years old
327,Paula,Cooper,pcooper92@intel.com,Florida,44.186.168.92,,11/30/14,10/9/14,$160.03 ,"$25,000-$49,999",F,8,Loved tracking my stride and heart rate.,3,2,0,0,3,2,9,Style,Under 24 years old
328,Maria,Garza,mgarza93@weebly.com,Florida,157.126.184.49,,12/7/14,6/30/14,$180.89 ,"$125,000 or more",F,8,Comfortable shoe - loved tracking my running route. Easy to use.,2,1,5,4,2,5,9,Comfort,24-44 years old
329,Justin,Riley,jriley94@xrea.com,Michigan,74.250.11.212,10321,12/4/14,5/28/14,$143.10 ,"$25,000-$49,999",M,0,Not interested in features,0,0,0,3,1,1,0,Price,Under 24 years old
330,Paul,Snyder,psnyder95@telegraph.co.uk,Utah,86.201.24.138,,11/25/14,5/3/14,$182.96 ,"$50,000-$74,999",M,10,Comfortable shoe - loved tracking my running route. Easy to use.,4,3,1,0,5,4,9,Performance,24-44 years old
331,Charles,Franklin,cfranklin96@mediafire.com,Indiana,13.166.10.176,10280,12/10/14,7/14/14,$148.70 ,"$25,000-$49,999",M,10,Such a great shoe for runners,5,4,4,3,2,5,9,Performance,Under 24 years old
332,Norma,Bennett,nbennett97@usatoday.com,District of Columbia,81.97.228.155,,11/25/14,6/10/14,$129.76 ,"$25,000-$49,999",F,8,Easy to use and loved the portal.,3,3,1,0,3,3,8,Price,24-44 years old
333,Howard,Lee,hlee98@hostgator.com,Washington,194.8.215.93,,11/24/14,11/17/14,$157.23 ,"$50,000-$74,999",M,5,Running route wasn't accurately tracked,2,2,3,2,4,4,6,Comfort,45 years old or older
334,Martha,Adams,madams99@printfriendly.com,North Carolina,147.223.3.117,,12/6/14,4/15/14,$152.18 ,"$25,000-$49,999",F,8,Great shoe for cyclists and runners,3,2,3,2,3,5,9,Style,Under 24 years old
335,Christina,Carpenter,ccarpenter9a@t-online.de,North Carolina,216.6.22.131,10398,12/9/14,8/8/14,$171.70 ,"$100,000-$124,999",F,8,Great shoe for cyclists and runners,3,2,1,0,1,3,9,Performance,Under 24 years old
336,Evelyn,Jenkins,ejenkins9b@ed.gov,Virginia,152.22.178.201,,11/23/14,3/27/14,$177.99 ,"$100,000-$124,999",F,8,Shoe was comfortable and I think this helped improve my time,0,0,4,3,0,3,7,Style,24-44 years old
337,Frances,Burton,fburton9c@biglobe.ne.jp,Massachusetts,142.61.228.229,10273,12/5/14,10/29/14,$167.86 ,"$50,000-$74,999",F,6,Loved the features but shoe is uncomfortable.,2,2,4,3,1,5,8,Comfort,45 years old or older
338,Susan,Mason,smason9d@paginegialle.it,New York,142.134.165,,11/20/14,4/8/14,$173.44 ,"$100,000-$124,999",F,10,Shoe was stylish and loved tracking running route,3,3,4,3,2,5,9,Comfort,45 years old or older
339,Kathleen,Marshall,kmarshall9e@posterous.com,New Jersey,190.128.92.186,10496,11/27/14,9/17/14,$150.09 ,"$25,000-$49,999",F,8,Shoe was comfortable and I think this helped improve my time,3,2,4,3,1,5,8,Comfort,45 years old or older
340,Matthew,Peters,mpeters9f@google.co.uk,Alabama,188.51.80.35,10098,12/6/14,3/11/14,$172.24 ,"$100,000-$124,999",M,2,Quality wasn't good,2,1,1,0,1,2,2,Comfort,Under 24 years old
341,Russell,Hansen,rhansen9g@surveymonkey.com,California,5.94.55.157,10219,11/29/14,2/15/14,$138.52 ,"$25,000-$49,999",M,8,Great shoe for cyclists and runners,2,2,0,0,2,1,9,Price,24-44 years old
342,Sarah,Snyder,ssnyder9h@weebly.com,Florida,4.245.123.149,10206,12/5/14,3/22/14,$170.03 ,"$100,000-$124,999",F,10,Portal was really cool - love tracking my stride and route,3,3,5,4,3,5,9,Style,24-44 years old
343,Marilyn,Shaw,mshaw9i@theatlantic.com,North Carolina,88.30.88.127,,12/10/14,9/17/14,$152.98 ,"$25,000-$49,999",F,8,Wish the setup was easier but loved tracking my running time. ,5,5,0,0,2,4,9,Performance,Under 24 years old
344,Anthony,Sanchez,asanchez9j@xing.com,District of Columbia,8.97.203.130,,12/9/14,8/9/14,$178.78 ,"$100,000-$124,999",M,8,Such a great shoe for runners,1,0,4,3,3,4,9,Comfort,45 years old or older
345,Russell,Richards,rrichards9k@drupal.org,Texas,160.120.178.130,10220,12/8/14,2/28/14,$163.15 ,"$75,000-$99,999",M,9,Shoe was stylish and loved tracking running route,5,4,4,3,3,5,9,Performance,45 years old or older
346,George,Kennedy,gkennedy9l@answers.com,Texas,70.12.63.214,10020,12/6/14,1/19/14,$138.12 ,"$25,000-$49,999",M,6,Setup took me too long but really liked the shoe.,4,4,1,0,4,4,7,Price,24-44 years old
347,Charles,Cooper,ccooper9m@opera.com,California,226.15.200.204,,11/29/14,10/22/14,$161.99 ,"$75,000-$99,999",M,0,Felt like it wasn't worth money,1,0,1,1,3,1,0,Comfort,45 years old or older
348,Kathy,Hanson,khanson9n@chron.com,Washington,183.65.201.74,,12/2/14,10/4/14,$132.19 ,"$25,000-$49,999",F,7,This is great for cyclists and runners. Had a hard time setting up portal.,4,4,0,0,3,3,6,Price,24-44 years old
349,Julie,Graham,jgraham9o@mapy.cz,Maryland,168.209.223.212,10377,12/4/14,1/25/14,$147.26 ,"$25,000-$49,999",F,6,Had a hard time with setup. But really liked tracking my route.,2,1,0,0,1,1,8,Price,Under 24 years old
350,Daniel,Knight,dknight9p@amazon.co.uk,California,220.45.44.32,,11/21/14,9/7/14,$187.92 ,"$75,000-$99,999",M,9,Great tool for runners,2,1,2,1,2,3,8,Comfort,45 years old or older
351,Cynthia,Weaver,cweaver9q@fastcompany.com,Florida,100.150.152.23,10222,11/21/14,6/28/14,$183.88 ,"$50,000-$74,999",F,6,Wish I could track calories burned.,3,2,2,1,4,4,7,Comfort,45 years old or older
352,Jacqueline,Clark,jclark9r@spotify.com,North Carolina,47.23.31,10361,12/2/14,9/2/14,$186.53 ,"$125,000 or more",F,6,Worked great - uncomfortable shoe.,3,2,2,1,3,4,7,Comfort,Under 24 years old
353,Gary,Ford,gford9s@booking.com,Oklahoma,5.72.224.62,10221,11/26/14,1/9/14,$167.71 ,"$50,000-$74,999",M,9,Loved tracking my stride and heart rate.,4,3,1,0,2,4,8,Performance,24-44 years old
354,Kelly,Romero,kromero9t@hhs.gov,Pennsylvania,112.142.126.47,10103,12/1/14,4/6/14,$165.21 ,"$75,000-$99,999",F,9,Such a big improvement over my other shoe,4,4,4,3,3,5,9,Performance,24-44 years old
355,Kimberly,Harris,kharris9u@joomla.org,Oklahoma,148.171.220.49,10159,11/21/14,9/8/14,$167.12 ,"$50,000-$74,999",F,0,Not interested in features,2,1,1,5,4,4,0,Price,Under 24 years old
356,Peter,Foster,pfoster9v@census.gov,District of Columbia,201.236.80.141,10329,11/28/14,2/5/14,$163.00 ,"$75,000-$99,999",M,10,Shoe was stylish and loved tracking running route,4,3,0,0,4,3,8,Performance,45 years old or older
357,Amy,Green,agreen9w@sogou.com,California,89.1223.153,,12/4/14,5/21/14,$134.22 ,"$25,000-$49,999",F,8,Shoe was comfortable and I think this helped improve my time,1,1,0,0,2,1,8,Style,45 years old or older
358,Gerald,Watkins,gwatkins9x@ucoz.com,Texas,170.140.156.212,,12/10/14,1/27/14,$183.55 ,"$50,000-$74,999",M,8,Great tool for runners,4,3,0,0,3,3,10,Performance,45 years old or older
359,Juan,Lawson,jlawson9y@wikispaces.com,New York,24.142.253.23,,12/3/14,2/3/14,$179.31 ,"$100,000-$124,999",M,6,Shoe felt good on my foot but fell apart quickly.,3,2,0,0,3,2,8,Comfort,45 years old or older
360,Tina,Carter,tcarter9z@nymag.com,Washington,23.106.37.215,,11/24/14,1/4/14,$137.29 ,"$25,000-$49,999",F,10,Shoe was comfortable and I think this helped improve my time,4,3,3,2,3,5,10,Performance,Under 24 years old
361,Melissa,Kennedy,mkennedya0@booking.com,Colorado,207.62.110.104,,11/23/14,7/31/14,$178.70 ,"$100,000-$124,999",F,6,Thoughts that the features were nice but setup was hard.,3,2,0,0,3,2,7,Style,45 years old or older
362,James,Hart,jharta1@devhub.com,Texas,18.53.85.29,10480,11/23/14,6/24/14,$148.47 ,"$25,000-$49,999",M,9,Fantastic shoe! Helped me improve my running time and track my runs.,2,1,4,3,5,5,9,Comfort,24-44 years old
363,Anne,Thomas,athomasa2@gizmodo.com,Florida,196.175.18.142,10035,11/25/14,8/14/14,$140.86 ,"$25,000-$49,999",F,9,Such a great shoe for runners,2,1,1,0,4,2,9,Style,Under 24 years old
364,James,Garrett,jgarretta3@taobao.com,California,200.235.33.118,,11/29/14,9/5/14,$155.80 ,"$50,000-$74,999",M,6,Want more colors to choose from,3,3,3,2,3,5,7,Comfort,45 years old or older
365,Terry,Harper,tharpera4@cnbc.com,North Carolina,13.179.8.192,,11/28/14,1/28/14,$152.21 ,"$25,000-$49,999",M,10,Such a big improvement over my other shoe,3,2,4,3,3,5,9,Price,24-44 years old
366,Jean,Meyer,jmeyera5@studiopress.com,Pennsylvania,196.197.217.58,10363,12/2/14,9/21/14,$173.24 ,"$100,000-$124,999",F,9,Comfortable shoe - loved tracking my running route. Easy to use.,5,5,1,0,4,5,9,Performance,24-44 years old
367,Carolyn,Fernandez,cfernandeza6@skyrock.com,Texas,4.48.145.195,10099,11/30/14,5/4/14,$133.16 ,"$25,000-$49,999",F,7,Shoe really helped me improve my running time.,5,5,0,0,4,4,9,Price,Under 24 years old
368,Steven,Ford,sforda7@squidoo.com,Virginia,26.135.197.110,10455,11/24/14,3/15/14,$184.23 ,"$50,000-$74,999",M,9,Great tool for runners,5,4,2,1,5,5,8,Performance,24-44 years old
369,Kevin,Schmidt,kschmidta8@ed.gov,Texas,64.79.16.28,,12/8/14,5/25/14,$142.53 ,"$50,000-$74,999",M,6,Thought the shoe was alright. Didn't love it.,5,5,0,0,1,4,8,Price,Under 24 years old
370,Paul,Miller,pmillera9@gmpg.org,New York,99.159.48.54,10319,11/26/14,2/6/14,$163.50 ,"$75,000-$99,999",M,4,Not worth the money,2,1,4,3,0,5,5,Comfort,Under 24 years old
371,Cynthia,Taylor,ctayloraa@chronoengine.com,Ohio,125.66.139.4,10355,12/1/14,10/30/14,$155.70 ,"$50,000-$74,999",F,9,Great shoe for cyclists and runners,3,2,2,1,2,4,9,Style,24-44 years old
372,Lois,Reed,lreedab@example.com,South Carolina,234.196.153.123,,11/27/14,4/17/14,$187.17 ,"$125,000 or more",F,8,Wish the setup was easier but loved tracking my running time. ,2,1,1,0,2,2,9,Comfort,24-44 years old
373,Justin,Kelley,jkelleyac@cmu.edu,Florida,101.67.7.226,,11/30/14,2/25/14,$143.58 ,"$25,000-$49,999",M,9,Loved tracking my stride and heart rate.,2,2,0,0,3,1,10,Price,24-44 years old
374,Tina,Lane,tlanead@noaa.gov,Nevada,150.108.122.92,,12/2/14,2/24/14,$179.76 ,"$100,000-$124,999",F,9,Great shoe for cyclists and runners,4,4,0,0,4,3,9,Performance,Under 24 years old
